,Year,District,Party,Incumbent,Gender,Age,Edu,score,score_CNN,vote_share,ln_vote_share,Poverty (%),Median_Household_Income,Pop_Total,Sex Ratio,Agesq,Edu_Level,Master & Above,College,High School,Republican,Democratic,Other,city_type,Incumbent_0,Incumbent_1,Gender_F,Gender_M,city_type_rural,city_type_transition,city_type_urban
29,2018,15,Republican,0,M,30.0,Bachelor,65.0,67.0,0.2703245616552357,-1.3081319616991154,5.3,118593,789174,0.9836267481726506,900.0,2,0,1,0,1,0,0,urban,1,0,0,1,0,0,1
30,2018,16,Democratic,1,M,66.0,Bachelor,77.0,76.0,0.5754517029358067,-0.5525999762605087,25.6,50583,749967,1.0175969094435762,4356.0,2,0,1,0,0,1,0,transition,0,1,0,1,0,1,0
31,2018,16,Republican,0,F,33.0,Master,80.0,79.0,0.4245482970641932,-0.8567295056996951,25.6,50583,749967,1.0175969094435762,1089.0,3,1,0,0,1,0,0,transition,1,0,1,0,0,1,0
32,2018,17,Democratic,1,M,42.0,Doctor,87.0,87.0,0.753473636355026,-0.2830612497758307,6.5,129602,777468,1.08193661547525,1764.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
34,2018,18,Democratic,1,F,76.0,Bachelor,80.0,83.0,0.7449162580482931,-0.2944834722248318,6.3,142215,750295,1.001186904047476,5776.0,2,0,1,0,0,1,0,transition,0,1,1,0,0,1,0
36,2018,19,Democratic,1,F,71.0,Doctor,75.0,77.0,0.7375487361507632,-0.3044231100352528,8.2,109704,763028,0.9919593582105916,5041.0,3,1,0,0,0,1,0,urban,0,1,1,0,0,0,1
38,2018,20,Democratic,1,M,49.0,Doctor,80.0,79.0,0.8137346547286252,-0.2061209431135063,12.6,83722,739352,1.0028335134754425,2401.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
39,2018,20,No party preference,0,M,76.0,Master,67.0,69.0,0.1862653452713748,-1.680583034397606,12.6,83722,739352,1.0028335134754425,5776.0,3,1,0,0,0,0,1,transition,1,0,0,1,0,1,0
40,2018,21,Democratic,0,M,55.0,Master,77.0,73.0,0.5037934797915786,-0.6855888572045844,24.9,51382,713625,1.113436257074403,3025.0,3,1,0,0,0,1,0,rural,1,0,0,1,1,0,0
41,2018,21,Republican,1,M,41.0,Bachelor,68.0,70.0,0.4962065202084214,-0.7007630675277757,24.9,51382,713625,1.113436257074403,1681.0,2,0,1,0,1,0,0,rural,0,1,0,1,1,0,0
42,2018,22,Republican,1,M,45.0,Master,72.0,70.0,0.5272215451998615,-0.6401344294060792,16.5,65339,771095,0.9608314325020534,2025.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
43,2018,22,Democratic,0,M,34.0,Doctor,84.0,83.0,0.4727784548001385,-0.7491283833022135,16.5,65339,771095,0.9608314325020534,1156.0,3,1,0,0,0,1,0,transition,1,0,0,1,0,1,0
44,2018,23,Republican,1,M,53.0,Master,71.0,71.0,0.6371699048470653,-0.4507189323706924,18.7,59881,747852,1.036417700734399,2809.0,3,1,0,0,1,0,0,transition,0,1,0,1,0,1,0
45,2018,23,Democratic,0,F,35.0,Master,83.0,83.0,0.3628300951529348,-1.0138206117202893,18.7,59881,747852,1.036417700734399,1225.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
46,2018,24,Democratic,1,M,54.0,Master,75.0,76.0,0.5855550203740099,-0.5351951287556452,12.8,78085,738707,1.0102511769668272,2916.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
47,2018,24,Republican,0,M,30.0,Bachelor,65.0,67.0,0.4144449796259901,-0.8808150523585645,12.8,78085,738707,1.0102511769668272,900.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
48,2018,25,Democratic,0,F,31.0,Master,84.0,83.0,0.5436613855082401,-0.6094286790404112,12.8,83915,716257,0.9699850103827166,961.0,3,1,0,0,0,1,0,transition,1,0,1,0,0,1,0
49,2018,25,Republican,1,M,52.0,Bachelor,78.0,78.0,0.4563386144917599,-0.7845201694008029,12.8,83915,716257,0.9699850103827166,2704.0,2,0,1,0,1,0,0,transition,0,1,0,1,0,1,0
50,2018,26,Democratic,1,F,66.0,Master,68.0,68.0,0.6194201060189644,-0.4789715514936546,9.0,88047,728927,0.9877315502859184,4356.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
51,2018,26,Republican,0,M,46.0,High_school,75.0,73.0,0.3805798939810356,-0.9660591526804008,9.0,88047,728927,0.9877315502859184,2116.0,1,0,0,1,1,0,0,transition,1,0,0,1,0,1,0
52,2018,27,Democratic,1,F,65.0,Doctor,82.0,82.0,0.7920803805839042,-0.2330924016812947,11.7,82690,705509,0.9292964925809856,4225.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
54,2018,28,Democratic,1,M,58.0,Doctor,67.0,70.0,0.7837200219978162,-0.2437034372111078,12.5,76727,709450,0.9628593641492156,3364.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
55,2018,28,Republican,0,M,64.0,Bachelor,67.0,77.0,0.2162799780021838,-1.5311815161782334,12.5,76727,709450,0.9628593641492156,4096.0,2,0,1,0,1,0,0,transition,1,0,0,1,0,1,0
56,2018,29,Democratic,1,M,55.0,Bachelor,65.0,67.0,0.8060985700618002,-0.2155492485909419,16.1,61523,707741,1.009468971019554,3025.0,2,0,1,0,0,1,0,rural,0,1,0,1,1,0,0
57,2018,29,Republican,0,M,54.0,Bachelor,70.0,71.0,0.1939014299381997,-1.6404053421439115,16.1,61523,707741,1.009468971019554,2916.0,2,0,1,0,1,0,0,rural,1,0,0,1,1,0,0
58,2018,30,Democratic,1,M,64.0,Doctor,69.0,70.0,0.7340158548313557,-0.3092246500132328,9.8,86771,766513,0.9622883503745308,4096.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
