"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B29004_001E","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)"
"B29004_001M","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)"
