Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID,Gender,Year_of_Birth,Edu,score,score_CNN,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio,total_votes,vote_share,ln_vote_share,Age
2018,CA,9,Jerry McNerney,https://upload.wikimedia.org/wikipedia/commons/a/a4/Jerry_McNerney%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,T,Democratic,113414.0,1,CA_9_1,M,1951.0,Doctor,64.0,59.0,13.7,74078,775148,380595,394553,0.964623257204989,200763.0,0.5649148498478306,-0.5710802674272513,67.0
2018,CA,9,Marla Livengood,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,87349.0,0,CA_9_2,F,1977.0,Bachelor,68.0,66.0,13.7,74078,775148,380595,394553,0.964623257204989,200763.0,0.4350851501521695,-0.8322135195732387,41.0
2018,CA,10,Josh Harder,https://upload.wikimedia.org/wikipedia/commons/8/8d/Josh_Harder%2C_official_portrait%2C_116th_Congress_%283x4%29.jpg,T,Democratic,115945.0,0,CA_10_1,M,1986.0,Master,68.0,70.0,13.6,67939,761485,380532,380953,0.9988948767958252,221900.0,0.5225101397025688,-0.6491108892021492,32.0
2018,CA,10,Jeff Denham,https://upload.wikimedia.org/wikipedia/commons/5/51/Jeff_Denham%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Republican,105955.0,1,CA_10_2,M,1967.0,Bachelor,66.0,64.0,13.6,67939,761485,380532,380953,0.9988948767958252,221900.0,0.4774898602974313,-0.739212354266019,51.0
2018,CA,11,Mark DeSaulnier,https://upload.wikimedia.org/wikipedia/commons/9/90/Mark_DeSaulnier%2C_Official_Portrait%2C_114th_Congress.jpeg,T,Democratic,204369.0,1,CA_11_1,M,1952.0,Bachelor,71.0,71.0,8.8,102740,762290,372843,389447,0.9573651870472748,275681.0,0.7413242116794411,-0.2993172167447165,66.0
2018,CA,11,John Fitzgerald,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,71312.0,0,CA_11_2,M,1964.0,High_school,68.0,67.0,8.8,102740,762290,372843,389447,0.9573651870472748,275681.0,0.25867578832055893,-1.3521797839629206,54.0
2018,CA,12,Nancy Pelosi,https://upload.wikimedia.org/wikipedia/commons/1/12/Official_photo_of_Speaker_Nancy_Pelosi_in_2019_%281%29.jpg,T,Democratic,275292.0,1,CA_12_1,F,1940.0,Bachelor,86.0,86.0,10.1,118993,764043,391594,372449,1.0514030108820267,317072.0,0.8682318211636474,-0.141296524906659,78.0
2018,CA,12,Lisa Remmer,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,41780.0,0,CA_12_2,F,1949.0,Master,75.0,77.0,10.1,118993,764043,391594,372449,1.0514030108820267,317072.0,0.13176817883635264,-2.026711121296437,69.0
2018,CA,13,Barbara Lee,https://upload.wikimedia.org/wikipedia/commons/0/01/U.S._Rep._Barbara_Lee_-_Official_Portrait%2C_115th_Congress.jpg,T,Democratic,260580.0,1,CA_13_1,F,1946.0,Master,71.0,69.0,13.2,86963,764304,369844,394460,0.9375957004512498,294837.0,0.8838103765809583,-0.12351274548436178,72.0
2018,CA,13,Laura Wells,https://upload.wikimedia.org/wikipedia/commons/5/5e/LauraWellsSacramento3_%28cropped%29.jpg,T,Green,34257.0,0,CA_13_2,F,1948.0,Master,67.0,71.0,13.2,86963,764304,369844,394460,0.9375957004512498,294837.0,0.11618962341904171,-2.1525317378715267,70.0
