"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"5001600US0601","Congressional District 1 (116th Congress), California","704482","1736","353464","1165","18837","335","19816","791","20428","833","12780","360","9185","306","5636","732","5209","730","15142","959","24609","444","21499","398","21822","925","19062","880","18713","383","20567","353","24632","888","10094","727","14667","717","10410","679","14490","627","18833","812","12685","580","7665","470","6683","427","351018","1306","17630","403","19137","811","19742","838","11514","299","8711","349","4175","552","5893","786","13098","846","20291","360","19685","326","19735","862","16992","904","18420","363","21433","392","25226","816","10665","812","17403","797","10506","671","15709","836","20478","841","14278","708","9252","679","11045","659",
"5001600US0602","Congressional District 2 (116th Congress), California","714171","2086","353057","1490","17268","450","19894","669","21709","795","13231","395","8740","396","3986","497","3374","502","12254","658","20273","593","20171","514","21274","903","22778","894","24501","605","23677","508","24465","981","10919","764","15100","885","9416","617","14423","687","20243","739","12101","576","6738","572","6522","594","361114","1413","17589","524","19890","790","19991","764","12200","340","8482","382","3816","498","3595","480","11219","731","18251","590","18702","497","20998","1068","21656","917","23144","479","24616","535","28133","869","10940","727","16287","754","10691","686","16400","873","21495","808","13469","672","8641","644","10909","737",
"5001600US0603","Congressional District 3 (116th Congress), California","746967","2288","373506","1811","23656","736","24923","912","25107","926","14902","574","12428","443","7749","803","6540","578","18248","917","29711","751","26262","685","24586","1119","21202","944","21050","542","22588","550","22409","880","9269","679","12110","804","7935","507","10828","658","12871","703","8061","564","5632","418","5439","406","373461","1841","23079","630","23547","860","23999","930","13897","459","12894","419","7439","601","7828","597","16494","851","26844","725","24849","665","22903","994","20547","858","21173","603","23187","686","21985","856","10406","649","13246","834","8564","650","10832","619","14269","801","10089","627","6652","572","8738","615",
"5001600US0604","Congressional District 4 (116th Congress), California","750420","2641","372802","1517","19138","418","22658","868","23317","812","14107","338","8090","459","3920","481","4058","538","11393","695","20551","543","21488","542","23191","966","23117","863","24036","551","24271","386","26983","1010","11605","795","15565","750","10474","635","14081","740","20942","729","12984","625","8781","583","8052","677","377618","1820","18147","404","20088","848","23435","962","14274","304","6795","340","3168","454","4021","522","10248","697","18724","463","20351","457","23563","963","21704","937","23729","384","24916","459","29944","1128","11527","701","17826","938","11454","624","15523","798","22003","869","15380","722","9353","611","11445","721",
"5001600US0605","Congressional District 5 (116th Congress), California","724984","2958","353792","2290","20074","846","20119","936","21675","1022","12759","515","8361","444","4906","506","4323","529","14123","880","24603","850","25097","906","23527","1135","23923","965","21052","795","23279","739","24162","969","9797","624","14617","824","8774","642","11948","638","15061","781","10386","656","5747","494","5479","437","371192","2304","18757","887","19369","970","20859","961","12645","569","8629","436","4036","535","4486","547","13825","767","23331","858","24114","958","23926","999","22148","1082","22525","771","24070","880","27189","1026","10562","782","16648","809","9884","854","15247","828","17801","831","11895","704","8236","623","11010","727",
"5001600US0606","Congressional District 6 (116th Congress), California","764174","4309","374721","3153","27367","1042","26569","1149","27535","1139","13904","680","9321","597","4099","429","5651","646","15948","993","33997","1156","33753","964","26675","1194","23859","1021","20833","978","21742","754","20956","1030","9624","797","10405","707","6898","646","8979","728","11047","679","6336","568","4426","443","4797","515","389453","2765","25522","896","25259","1130","24238","1021","13823","802","9110","591","4359","613","3995","421","17231","939","35189","936","34261","1050","27450","1132","25286","1217","21752","869","21717","819","23232","1051","10103","928","13309","946","8308","597","9552","727","12929","872","8848","687","6252","502","7728","728",
"5001600US0607","Congressional District 7 (116th Congress), California","762260","4149","370533","2899","23035","1101","23820","900","26663","1031","16532","596","8737","556","4216","461","4332","550","13940","842","27142","1130","26156","890","26543","1044","23895","1011","25570","904","24337","725","24275","975","8980","766","12741","762","7723","628","9559","582","12560","745","8209","610","5547","446","6021","548","391727","2657","22476","940","24003","1069","26193","1071","15863","735","7695","504","3998","617","3987","562","13705","881","25869","924","25044","904","27070","979","24564","1150","27081","783","26180","750","26199","1193","9602","686","14513","805","9045","690","13196","999","16405","849","10992","665","7784","628","10263","747",
"5001600US0608","Congressional District 8 (116th Congress), California","729399","4415","366846","3185","28562","1408","29637","1295","29755","1342","16111","866","10728","659","6288","815","5984","668","15158","991","26074","1404","23995","1150","24339","1189","21477","1274","20555","1077","19684","862","21394","1026","9435","841","12115","829","6369","585","10485","813","11929","920","8143","568","4858","600","3771","394","362553","3570","27367","1331","27458","1821","26622","1513","15968","924","8939","552","5614","664","4812","630","12833","1092","25448","1349","24641","1081","21840","1460","21484","1205","19366","1017","22301","1084","22640","1140","10545","785","12238","801","7073","605","9876","716","13831","772","9385","790","5771","592","6501","689",
"5001600US0609","Congressional District 9 (116th Congress), California","775716","3247","381416","2619","25653","1124","28338","1294","30319","1250","19253","697","11952","527","5744","679","5683","656","15268","987","27382","1048","25306","919","25924","1128","23747","1040","24165","899","23030","910","23399","1034","9373","794","11678","795","6595","536","8770","538","12808","767","7751","572","4724","477","4554","478","394300","2845","25403","988","28836","1192","31139","1302","17595","798","10516","598","4899","525","5591","592","15989","808","26391","938","25399","883","25078","1204","26009","1263","24176","903","23121","893","24413","1185","10364","830","12543","817","7756","553","10266","829","14476","771","9865","726","6566","682","7909","645",
