"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Margin of Error!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Margin of Error!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Margin of Error!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Margin of Error!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Margin of Error!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Margin of Error!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Margin of Error!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Margin of Error!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Margin of Error!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Margin of Error!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Margin of Error!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Margin of Error!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Margin of Error!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Margin of Error!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Margin of Error!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Margin of Error!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Margin of Error!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Margin of Error!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Margin of Error!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Margin of Error!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Margin of Error!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Margin of Error!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Margin of Error!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Margin of Error!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Margin of Error!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Margin of Error!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Margin of Error!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Margin of Error!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Margin of Error!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Margin of Error!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"5001600US0601","Congressional District 1 (116th Congress), California","711282","5829","357637","4167","18402","1384","19699","2308","21754","2465","12311","1084","9312","1098","6949","1443","3383","953","15847","1860","26823","1811","21789","1513","22046","1840","18477","1699","19187","1316","19419","1270","23667","2219","10245","1493","16441","1618","10009","1221","13882","1340","20088","1762","13739","1252","8194","1143","5974","1053","353645","4449","17176","1269","19419","2327","19165","2333","10056","959","8832","1028","3452","929","7390","2305","12338","2385","21367","1393","19978","1223","16853","1869","18256","1808","18519","1246","21382","1418","26266","1851","10952","1230","18248","1840","10962","1227","15488","1348","21802","1587","15323","1559","10322","1405","10099","1254",
"5001600US0602","Congressional District 2 (116th Congress), California","722370","5560","357376","4340","17220","1348","20323","2076","22254","1952","13474","1332","8965","1243","3757","1395","3818","974","12948","1634","20618","1844","19065","1482","21926","1875","23034","2182","24683","1592","24077","1431","24135","1976","11170","1433","16062","1706","10614","1512","13134","1446","20754","1722","11872","1262","6797","1060","6676","1024","364994","3925","16049","1316","21524","2210","20232","2194","12539","1301","9442","1557","4136","1206","3277","964","13424","2155","16599","1513","18421","1420","21422","2203","22125","1850","23401","1398","24277","1294","27091","2147","10575","1405","16804","1729","10854","1249","18281","1705","21001","1674","14122","1393","9653","1439","9745","1420",
"5001600US0603","Congressional District 3 (116th Congress), California","748104","6290","370187","4740","25424","1811","25619","2133","23335","2297","14961","1323","11486","1304","10777","2049","4746","1281","16975","2053","28425","1715","26427","1731","24979","2671","19471","2125","22063","1532","21436","1296","22175","1981","10424","1516","12292","1409","7516","1211","10193","1110","12370","1400","8989","1128","4889","898","5215","960","377917","4843","24386","1590","22958","2431","27064","2192","13408","1416","15692","1570","7297","1596","6397","1249","17418","1880","26894","1698","25623","1667","22434","2015","20742","2122","20343","1272","22964","1523","21638","2045","10738","1433","13875","1823","8271","1088","9742","1348","15239","1545","10543","1394","6136","962","8115","1327",
"5001600US0604","Congressional District 4 (116th Congress), California","754525","7273","377608","4548","18752","1261","22992","2237","23419","2110","14437","1192","8837","1087","3644","1100","4057","1047","12932","1725","22177","1835","20893","1720","23856","2219","22475","2063","23731","1409","24607","1425","27543","2018","10895","1475","16109","1791","9437","1562","16077","1687","21358","1966","13302","1368","8127","1139","7951","1099","376917","5334","17141","1214","20693","2338","23413","2258","14231","1132","6603","1329","2911","1073","4007","1185","9963","1411","20322","1773","19640","1286","24962","2499","21503","2368","24464","1259","24555","1376","28220","2335","12029","1960","18631","1764","11123","1544","14775","1383","22434","1919","14680","1400","10022","1389","10595","1585",
"5001600US0605","Congressional District 5 (116th Congress), California","730955","8907","359113","6509","19936","1992","20073","1997","26287","2272","13134","1478","8531","1468","4892","1144","4726","1291","13378","2115","24445","2246","25175","1903","24728","2574","23143","2323","20796","1621","22875","1743","23395","2473","11283","1564","14445","1921","9681","1461","12519","1723","13960","1555","10318","1272","5705","1280","5688","1003","371842","5696","20929","1642","18589","2149","19870","2215","11373","1328","9392","1305","4089","1263","4029","1110","12588","1886","23719","1804","25501","1881","22930","2619","24410","2880","23596","1711","23002","1876","27486","2388","10968","1618","17035","1931","9880","1371","14871","1702","17821","1632","12501","1511","8468","1214","8795","1121",
"5001600US0606","Congressional District 6 (116th Congress), California","777985","11689","380830","7607","27773","2108","25404","2512","29850","2541","15880","1520","9583","1278","3821","973","5061","1162","15998","1738","35441","2552","35182","2230","28537","3039","22572","2295","22716","2244","21965","1698","19467","1918","9330","1621","9649","1354","6436","1190","8691","1174","12058","1380","5545","1001","5228","919","4643","869","397155","7545","26239","2513","25784","2563","26956","2837","14721","1466","8727","1222","3890","1124","4671","1002","16933","2256","36204","2004","34416","2241","27845","2395","26451","2285","24866","1819","20599","1728","22328","2179","9088","1377","14290","1858","7650","1437","8815","1237","13110","1810","9908","1603","5262","1075","8402","1446",
"5001600US0607","Congressional District 7 (116th Congress), California","753640","10495","368543","7141","21233","1928","22979","2280","27123","2332","15039","1434","8860","1063","3996","879","4980","1317","14342","1645","26288","2319","24861","2225","28839","2695","22001","2162","24215","1930","23678","1661","25335","1953","9477","1683","14768","1884","7765","1124","9089","1252","13477","1674","8742","1194","6016","958","5440","897","385097","7195","22615","2175","22250","2410","22834","2465","15189","1298","8454","1265","3905","1187","4146","1236","13411","1877","24879","1999","23034","2016","29118","2281","22427","2228","24545","1690","26739","1673","27472","1957","9297","1341","15120","1619","8657","1437","13071","1415","18118","1763","11495","1369","8966","1481","9355","1707",
"5001600US0608","Congressional District 8 (116th Congress), California","717107","10856","361408","7256","27005","2966","28069","3095","27712","2955","16552","2212","9985","1335","6232","1267","4493","1185","15368","2076","25852","3056","24070","2062","21878","2494","21223","2778","22501","2402","21570","2219","22083","2619","9994","1769","11921","1916","5694","1192","9032","1304","13344","1626","8746","1251","4225","1056","3859","1104","355699","8295","26380","2385","30410","3423","23425","2869","13590","2286","7789","1189","5204","1338","4062","1132","11852","2069","24460","2736","22889","2473","22338","3047","22659","3418","19787","2072","22339","2363","21395","2490","12884","2168","12163","1776","5858","1197","9126","1483","14154","1669","9832","1643","6486","1237","6617","1171",
"5001600US0609","Congressional District 9 (116th Congress), California","775148","7213","380595","5431","28009","2076","29656","2493","29573","2216","18632","1482","11810","1230","6415","1482","5131","1351","14426","1771","24872","2131","24345","1649","25645","2304","23512","1879","25348","1990","23164","1763","22193","2036","9275","1545","13527","1790","6305","1240","9128","1353","11738","1770","9454","1132","4510","950","3927","849","394553","4957","23647","1866","30061","2799","32592","2740","18056","1683","10782","1322","5131","1334","5192","1185","16730","2184","24734","1888","26226","1835","24575","2251","24990","2561","25455","1694","23796","2123","22974","2067","9336","1654","12114","1945","8500","1220","9653","1460","15591","1717","10237","1285","6778","1176","7403","1309",
