score_group,vote_share (mean),vote_share (std),ln_vote_share (mean),ln_vote_share (std),count
below 74.99,0.5119,0.1958,-0.7622,0.4665,121
75-79.99,0.5409,0.1564,-0.6626,0.3305,47
above 80,0.5522,0.1651,-0.6388,0.3137,21
