score_group,vote_share (mean),vote_share (std),ln_vote_share (mean),ln_vote_share (std),count
below 69.99,0.5019,0.197,-0.7852,0.4742,72
70-74.99,0.5267,0.1952,-0.7284,0.4576,49
75-79.99,0.5409,0.1564,-0.6626,0.3305,47
above 80,0.5522,0.1651,-0.6388,0.3137,21
